college_code,college_name,cap_code,annual_fees
AR3439,"ANJUMAN-I-ISLAM'S KALSEKAR TECHNICAL CAMPUS, SCHOOL OF ARCHITECTURE",3439,108500
AR4104,"KAVI KULGURU INSTITUTE OF TECHNOLOGY & SCIENCE, RAMTEK",4104,105000
EN1101,SHRI SANT GAJANAN MAHARAJ COLL. OF . SHEGAON,1101,134000
EN1105,"V.Y.W.S'S PROF. RAM MEGHE INSTITUTE OF TECHNOLOGY & RESEARCH,BADNERA",1105,145000
EN1107,P. R. POTE (PATIL) EDUCATION & WELFARE TRUST'S GROUP OF INSTITUTE COLLEGE OF,1107,127000
EN1114,"SIPNA SHIKSHAN PRASARAK MANDAL COLLEGE OF ENGINEERING & TECHNOLOGY, AMRAVATI",1114,107000
EN1116,"SHRI SHIVAJI EDUCATION SOCIETY, AMRAVATI'S COLLEGE OF ENGINEERING AND",1116,117000
EN1117,"BABASAHEB NAIK COLLEGE OF ENGINEERING, KARLA ROAD, KAKADDATI,PUSAD",1117,102000
EN1119,"SHIKSHAN SANTHA'S , ANURADHA COLLEGE OF ENGINEERING AND TECHNOLOGY, CHIKHLI",2138,88500
EN1120,"JAWAHARLAL DARDA INSTITUTE OF ENGINEERING AND TECHNOLOGY, YAVATMAL",1120,91000
EN1121,SHRI HANUMAN VYAYAM PRASARAK MANDALS COLLEGE OF ENGINEERING & TECHNOLOGY,1121,93000
EN1123,"DR.RAJENDRA GODE INSTITUTE OF TECHNOLOGY & RESEARCH, AMRAVATI",1123,95000
EN1125,"RAJARSHI SHAHU COLLEGE OF ENGINEERING, BULDANA",1125,44500
EN1126,"TECHNOLOGY, DARAPUR, AMRAVATI (FORMERLY KNOW AS DR. SMT. KAMALTAI",1126,82000
EN1127,JAGADAMBHA BAHUUDDESHIYA GRAMIN VIKAS SANSTHA'S JAGDAMBHA COLLEGE OF,1127,119000
EN1128,"PROF RAM MEGHE COLLEGE OF ENGINEERING & MANAGEMENT, BADNERA-AMRAVATI",1105,120000
EN1130,SOCIETY'S PANKAJ LADDHAD INSTITUTE OF TECHNOLOGY & MANAGEMENT STUDIES,1130,54000
EN1180,"SANMATI ENGINEERING COLLEGE, SAWARGAON BARDE WASHIM",1180,93000
EN1182,"PADMASHRI DR. V.B. KOLTE COLLEGE OF ENGINEERING, MALKAPUR",1182,81000
EN1265,"MAULI GROUP OF INSTITUTIONS, COLLEGE OF ENGINEERING AND TECHNOLOGY, SHEGAON",1265,80000
EN1276,"MANAV SCHOOL OF ENGINEERING AND TECHNOLOGY, AKOLA",1276,66000
EN2111,"EVEREST EDUCATION SOCIETY, GROUP OF INSTITUTIONS (INTEGRATED CAMPUS), OHAR",2111,50000
EN2112,"SHREE YASH PRATISHTHAN, SHREEYASH COLLEGE OF ENGINEERING AND TECHNOLOGY",2112,80000
EN2113,"G. S. MANDAL'S MAHARASHTRA INSTITUTE OF TECHNOLOGY, AURANGABAD",2113,124000
EN2114,"DEOGIRI INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES, AURANGABAD",2114,101000
EN2116,MATOSHRI PRATISHTHAN'S GROUP OF INSTITUTION(INTEGRATED CAMPUS ),2116,64000
EN2127,"MAHATMA GANDHI MISSIONS COLLEGE OF ., HINGOLI RD, NANDED",2127,121000
EN2129,"HINGOLI RD, NANDED. M.S. BIDVE ENGINEERING COLLEGE, LATUR",2129,90500
EN2130,"TERNA PUBLIC CHARITABLE TRUST'S COLLEGE OF ENGINEERING, OSMANABAD",2130,99000
EN2131,"SHREE TULJABHAVANI COLLEGE OF ENGINEERING, TULJAPUR",2131,79000
EN2133,MAHATMA BASAWESHWAR EDUCATION SOCIETY'S COLLEGE OF ENGINEERING,2133,65000
EN2134,"PEOPLES EDUCATION SOCIETY'S COLLEGE OF ENGINEERING, AURANGABAD",2134,85000
EN2135,"BHARTIYA GRAMIN PUNARACHANA SANSTHA, HI-TECH INSTITUTE OF TECHNOLOGY",2135,88000
EN2136,"AURANGABAD ADITYA ENGINEERING COLLEGE , BEED",2136,132000
EN2137,NAGNATHAPPA HALGE COLLEGE OF ENGINEERING,2137,45000
EN2138,"MATSYODARI SHIKSHAN SANSATHA'S COLLEGE OF ENGINEERING AND TECHNOLOGY, JALNA",2138,85000
EN2146,ADARSH SHIKSHAN PRASARAK MANDAL'S K. T. PATIL COLLEGE OF ENGINEERING AND,2146,48000
EN2250,"AURANGABAD COLLEGE OF ENGINEERING, NAYGAON SAVANGI, AURANGABAD",2250,68000
EN2252,MANDAL'S SHRI SHIVAJI INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,2252,46500
EN2254,"VILASRAO DESHMUKH FOUNDATION GROUP OF INSTITUTIONS, VDF SCHOOL OF ENGINEERING &",2254,53500
EN2282,"TECHNOLOGY, LATUR Re MITTHULALJI SARDA POLYTECHNIC",,85000
EN2516,INTERNATIONAL CENTER OF EXCELLENCE IN ENGINEERING AND MANAGEMENT,2516,58000
EN2522,"SANDIPANI TECHNICAL CAMPUS-FACULTY OF ENGINEERING, LATUR",2522,88500
EN2533,"CSMSS CHH. SHAHU COLLEGE OF ENGINEERING, AURANGABAD",2533,100000
EN2641,SHRI SAI JANVIKAS PRATISTHAN'S SANCHALIT DR. V. K. PATIL COLLEGE OF ENGINEERING AND,2641,78500
EN3135,"MANJARA CHARITABLE TRUST'S RAJIV GANDHI Mumbai- INSTITUTE OF TECHNOLOGY, MUMBAI Suburban",3135,131000
EN3139,"VIDYALANKAR INSTITUTE OF TECHNOLOGY, Mumbai- WADALA, MUMBAI. City",3139,182000
EN3146,JAWAHAR EDUCATION SOCIETY'S ANNASAHEB CHUDAMAN PATIL COLLEGE OF ENGINEERING,3146,121000
EN3147,"SARASWATI EDUCATION SOCIETY, YADAVRAO TASAGAONKAR INSTITUTE OF ENGINEERING &",3147,57000
EN3148,MAHAVIR EDUCATION TRUST'S SHAH & ANCHOR KUTCCHI ENGINEERING COLLEGE,3148,167000
EN3154,SARASWATI EDUCATION SOCIETY'S SARASWATI COLLEGE OF,3723,97500
EN3175,"M.G.M.'S COLLEGE OF ENGINEERING AND TECHNOLOGY, KAMOTHE, NAVI MUMBAI",3175,92000
EN3176,"TECHNOLOGY,SHYAMNARAYAN THAKUR Mumbai- MARG, THAKUR VILLAGE, KANDIVALI ( EAST ), Suburb",3143,154500
EN3182,"THADOMAL SHAHANI ENGINEERING COLLEGE, Mumbai- BANDRA, MUMBAI City",3182,201000
EN3183,"ANJUMAN-I-ISLAM'S M.H. SABOO SIDDIK Mumbai- COLLEGE OF ENGINEERING, BYCULLA,MUMBAI City",3183,153000
EN3184,"FR. CONCEICAO RODRIGUES COLLEGE OF Mumbai- ENGINEERING, BANDRA, MUMBAI Suburban",3184,207000
EN3185,VIVEKANAND EDUCATION SOCIETY'S INSTITUTE Mumbai- OF TECHNOLOGY Suburban,3185,155000
EN3187,"N.Y.S.S.'S DATTA MEGHE COLLEGE OF ENGINEERING, AIROLI, NAVI MUMBAI",3187,105000
EN3188,"VASANTDADA PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING AND VISUAL ARTS, SION",3188,145000
EN3189,"BHARATI VIDYAPEETH COLLEGE OF ENGINEERING, BELAPUR,C. B. D. SECTOR -7",6288,128500
EN3190,"TERNA ENGINEERING COLLEGE, NERUL, NAVI MUMBAI",3190,139500
EN3192,"SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,KOPAR KHAIRANE, NAVI MUMBAI",3192,109000
EN3193,"SHIVAJIRAO S. JONDHALE COLLEGE OF ENGINEERING, DOMBIVALI,MUMBAI",3193,90000
EN3194,"VIDYAVARDHINI'S COLLEGE OF ENGINEERING AND TECHNOLOGY, VASAI, THANE",3194,136000
EN3196,"LOKMANYA TILAK COLLEGE OF ENGINEERING, KOPAR KHAIRANE, NAVI MUMBAI",3196,157000
EN3197,"AGNEL CHARITIES' FR. C. RODRIGUES INSTITUTE OF TECHNOLOGY, VASHI, NAVI",3197,179000
EN3198,"KONKAN GYANPEETH COLLEGE OF ENGINEERING, KARJAT",3198,104500
EN3199,SHRI VILE PARLE KELVANI MANDAL'S DWARKADAS J. SANGHVI COLLEGE OF,3199,228500
EN3200,"FINOLEX ACADEMY OF MANAGEMENT AND TECHNOLOGY, RATNAGIRI",3200,116500
EN3201,"RIZVI EDUCATION SOCIETY'S RIZVI COLLEGE OF Mumba ENGINEERING, BANDRA,MUMBAI Suburban",3201,108000
